Station,lat,lng,red_line,gold_line,blue_line,green_line
Airport,33.6408724,-84.4484172,1,1,0,0
Arts Center,33.789124,-84.3887902,1,1,0,0
Ashby,33.7561974,-84.4159563,0,0,1,1
Avondale,33.7751405,-84.2844663,0,0,1,0
Bankhead,33.772513,-84.428996,0,0,0,1
Brookhaven,33.859997,-84.339365,0,1,0,0
Buckhead,33.848858,-84.36836,1,0,0,0
Chamblee,33.887702,-84.305288,0,1,0,0
Civic Center,33.76661,-84.387619,1,1,0,0
College Park,38.978405,-76.928307,0,1,0,0
Decatur,33.774659,-84.29534,0,0,1,0
Dome,33.756579,-84.396776,0,0,1,1
Doraville,33.90295,-84.280156,0,1,0,0
Dunwoody,33.92123,-84.344453,1,0,0,0
East Lake,33.765215,-84.312948,0,0,1,0
East Point,33.677428,-84.440563,0,1,0,0
Edgewood,33.761977,-84.339629,0,0,1,1
Five Points,33.753847,-84.391528,1,1,1,1
Garnett,33.748482,-84.395937,0,1,0,0
Georgia State,33.750425,-84.386241,0,0,1,1
Hamilton E. Holmes,33.754493,-84.469994,0,0,1,0
Indian Creek,33.769797,-84.229697,0,0,1,0
Inman Park,33.757705,-84.352577,0,0,1,1
Kensington,33.772703,-84.251961,0,0,1,0
King Memorial,33.749919,-84.375586,0,0,1,1
Lakewood/Ft. McPherson,33.700517,-84.428802,0,1,0,0
Lenox,33.845114,-84.358673,0,1,0,0
Lindbergh Center,33.823174,-84.369391,1,1,0,0
Medical Center,33.910706,-84.351577,1,0,0,0
Midtown,33.781125,-84.386351,1,1,0,0
North Avenue,33.771702,-84.387041,1,1,0,0
North Springs,33.94505,-84.357207,1,0,0,0
Oakland City,33.716945,-84.425144,0,1,0,0
Peachtree Center,33.757986,-84.387818,1,1,0,0
Sandy Springs,33.931961,-84.350657,1,0,0,0
Vine City,33.756546,-84.403988,0,0,1,1
West End,33.736027,-84.413661,0,1,0,0
West Lake,33.753191,-84.445321,0,0,1,0
